Equipment Name,Type,Flowrate,Pressure,Temperature
Separator A,Separator,233.9,2.6,81.7
Compressor B,Compressor,241.2,4.0,105.9
Filter C,Filter,155.0,2.3,59.8
Compressor D,Compressor,273.8,4.6,108.2
Compressor E,Compressor,259.7,4.4,105.1
Dryer F,Dryer,163.7,2.1,97.8
Pump G,Pump,171.5,4.0,39.7
Compressor H,Compressor,259.3,4.0,106.0
Column I,Column,317.7,2.2,95.8
Cooler J,Cooler,197.9,2.1,31.6
Separator K,Separator,228.3,3.1,72.6
Reactor L,Reactor,147.8,2.5,119.7
Mixer M,Mixer,176.2,1.6,55.5
Heat Exchanger N,Heat Exchanger,203.3,2.2,88.4
Filter O,Filter,162.1,2.6,64.4
Compressor P,Compressor,250.5,4.1,117.4
Cooler Q,Cooler,224.0,2.1,29.1
Reactor R,Reactor,140.5,2.3,120.9
Filter S,Filter,145.2,2.9,60.6
Pump T,Pump,183.7,3.6,44.3
Cooler U,Cooler,198.5,2.2,34.3
Heat Exchanger V,Heat Exchanger,182.9,1.8,85.0
Compressor W,Compressor,264.2,4.4,118.3
Reactor X,Reactor,151.5,2.8,127.7
Compressor Y,Compressor,257.5,4.6,112.4
Dryer Z,Dryer,176.3,1.7,103.8
Pump A1,Pump,160.9,3.6,38.1
Column B1,Column,316.3,2.0,96.2
Column C1,Column,317.7,2.2,100.4
Heat Exchanger D1,Heat Exchanger,198.7,1.7,76.6
Column E1,Column,315.7,2.2,102.1
Dryer F1,Dryer,164.5,1.7,99.6
Dryer G1,Dryer,179.5,2.3,95.1
Filter H1,Filter,161.0,2.6,60.4
Cooler I1,Cooler,205.1,2.3,29.8
Filter J1,Filter,166.1,2.5,64.6
Column K1,Column,289.9,2.3,100.7
Compressor L1,Compressor,246.4,3.8,114.1
Heat Exchanger M1,Heat Exchanger,192.3,1.5,80.2
Reactor N1,Reactor,147.2,2.1,122.3
Mixer O1,Mixer,177.3,1.6,66.4
Reactor P1,Reactor,161.8,2.3,124.5
Mixer Q1,Mixer,182.0,1.7,67.0
Dryer R1,Dryer,164.6,1.7,95.8
Column S1,Column,293.0,2.0,100.7
Pump T1,Pump,170.5,3.1,44.4
Filter U1,Filter,156.6,2.9,52.1
Dryer V1,Dryer,158.4,2.3,112.5
Pump W1,Pump,166.9,3.2,44.8
Column X1,Column,301.2,2.0,91.4
Compressor Y1,Compressor,271.0,4.4,110.1
Pump Z2,Pump,181.0,3.8,43.6
Mixer A2,Mixer,193.4,1.6,56.3
Filter B2,Filter,168.6,2.7,58.7
Dryer C2,Dryer,174.9,1.6,98.2
Heat Exchanger D2,Heat Exchanger,194.6,1.8,89.9
Column E2,Column,308.5,2.0,94.9
Column F2,Column,294.7,2.3,100.8
Reactor G2,Reactor,156.3,2.4,124.5
Mixer H2,Mixer,177.3,1.8,60.9
Mixer I2,Mixer,197.2,1.5,60.3
Reactor J2,Reactor,157.3,2.4,117.9
Pump K2,Pump,177.2,3.8,35.4
Compressor L2,Compressor,270.3,4.5,119.3
Reactor M2,Reactor,156.6,2.5,129.7
Column N2,Column,291.8,2.1,102.8
Pump O2,Pump,165.1,3.6,44.4
Cooler P2,Cooler,222.9,1.7,28.1
Mixer Q2,Mixer,180.8,1.4,59.4
Cooler R2,Cooler,217.2,2.1,35.5
Separator S2,Separator,218.8,3.1,82.2
Dryer T2,Dryer,173.3,1.7,95.1
Column U2,Column,311.9,2.3,100.5
Pump V2,Pump,170.1,3.4,35.9
Separator W2,Separator,230.2,2.7,72.3
Mixer X2,Mixer,187.7,1.3,55.6
Mixer Y2,Mixer,179.1,1.6,59.9
Filter Z3,Filter,168.1,2.4,59.3
Column A3,Column,313.7,1.9,96.2
Pump B3,Pump,179.1,3.7,44.8
Cooler C3,Cooler,204.7,2.2,29.1
Cooler D3,Cooler,197.4,1.7,39.4
Separator E3,Separator,222.8,3.0,70.9
Cooler F3,Cooler,199.7,1.9,33.2
Dryer G3,Dryer,174.8,1.8,114.1
Separator H3,Separator,229.7,2.8,81.0
Pump I3,Pump,167.4,3.4,42.6
Dryer J3,Dryer,165.3,1.7,96.9
Column K3,Column,287.0,1.8,101.5
Compressor L3,Compressor,253.9,4.0,111.5
Separator M3,Separator,211.4,3.2,83.3
Column N3,Column,295.0,2.2,97.5
Reactor O3,Reactor,156.2,2.5,124.2
Separator P3,Separator,238.3,3.1,79.5
Column Q3,Column,303.0,2.1,99.6
Reactor R3,Reactor,164.3,2.7,124.4
Reactor S3,Reactor,168.8,2.7,117.9
Heat Exchanger T3,Heat Exchanger,181.2,1.9,80.0
Cooler U3,Cooler,204.6,2.2,25.3
Heat Exchanger V3,Heat Exchanger,187.8,1.8,85.4
Heat Exchanger W3,Heat Exchanger,198.9,2.1,86.0
Compressor X3,Compressor,273.7,4.3,111.4
Filter Y3,Filter,169.2,3.0,56.2
Heat Exchanger Z4,Heat Exchanger,187.5,1.9,88.0
Compressor A4,Compressor,244.5,4.5,116.1
Pump B4,Pump,163.1,3.9,40.1
Dryer C4,Dryer,164.6,2.3,102.8
Dryer D4,Dryer,180.4,1.9,114.1
Column E4,Column,302.9,2.2,96.7
Pump F4,Pump,178.1,3.6,37.1
Compressor G4,Compressor,266.7,4.6,106.4
Cooler H4,Cooler,224.2,2.3,25.8
Pump I4,Pump,186.6,3.4,36.2
Dryer J4,Dryer,177.8,2.1,97.0
